Item report
"January 1, 2025 - December 31, 2025"
Item status,Property ID,Property name,Final URL,Final mobile URL,Image URL,Destination name,Description,Price,Formatted price,Sale price,Formatted sale price,Star rating,Category,Contextual keywords,Address,Tracking template,Android app link,iOS app link,iOS app store ID,Similar property IDs,Status
Enabled,164451,Krisron Road,https://www.theblueground.com/p/furnished-apartments/den-1013089p,,https://photos2.theblueground.com/736/partner-network/avenuewest/de-live/avenuewest-2018/full/76d514343fcf49656cbf562b62cae817ba3ee3dd-1067323524921573658.jpg,Fort Collins,2 beds • 2 baths • 1023 sqft,3000 USD,"$3,000", --, --, --,apartment,,"Krisron Road, Fort Collins, United States, 40.5534926369, -105.0384899151", --, --, --, --,,Eligible
Enabled,148512,Alameda Portugal,https://www.theblueground.com/p/furnished-apartments/sao-1327502p,,https://photos2.theblueground.com/736/partner-network/anora-spaces/de-live/anora-spaces/full/9f03c319a96271af04b0f2b5626662982f77b06a.jpg,Barueri,1 bed • 2 baths,12890 BRL,"R$12,890", --, --, --,apartment,,"Alameda Portugal, Barueri, Brazil, -23.4921460621, -46.8497418299", --, --, --, --,,Eligible
Enabled,20036,"Park Plaza Apartments, 2865 Park Blvd",https://www.theblueground.com/p/furnished-apartments/sfo-942,,https://photos2.theblueground.com/736/pg20036-o-51882be3-9112-5c30-daf5-ce7e18c7b596.jpg,Palo Alto,2 beds • 2 baths • 987 sqft,4970 USD,"$4,970", --, --, --,apartment,,"Park Plaza Apartments, 2865 Park Blvd, Palo Alto, United States, 37.4261551, -122.1384563", --, --, --, --,,Eligible
Enabled,94340,Brook Street,https://www.theblueground.com/p/furnished-apartments/usa-1241327p,,https://photos2.theblueground.com/736/partner-network/weekender-management/image/upload/v1715182979/production/622b8ecf00b0600033aa051e/h1hjlaqbfz7ytnrqbg9a.jpg,Gentry,3 beds • 2 baths • 1485 sqft,2500 USD,"$2,500", --, --, --,apartment,,"Brook Street, Gentry, United States, 36.2595558, -94.4547203", --, --, --, --,,Eligible
Enabled,166148,Street 5,https://www.theblueground.com/p/furnished-apartments/dxb-1239330p,,https://photos2.theblueground.com/736/partner-network/dlx-holiday-homes/output/7edea9c4-2bdf-489f-af39-89471bd166b9-u1_672af794-047a-4573-9419-42364fe3a5bf.jpeg,Dubai,1 bed • 1 bath • 732 sqft,9350 AED,"AED 9,350", --, --, --,apartment,,"Street 5, Dubai, United Arab Emirates, 25.06171847465, 55.198793294856", --, --, --, --,,Eligible
Enabled,163814,Rua da Nora Branca,https://www.theblueground.com/p/furnished-apartments/lis-1363470p,,https://photos2.theblueground.com/736/partner-network/my-choice-algarve/fotos/2/16764617179b84db267c7e79c20692a284f68e2a8b/1676461720ac1452765ebcebf6a437696c86a89769.jpg,Tavira,1 bed • 1 bath • 35 sqm,1150 EUR,"€1,150", --, --, --,apartment,,"Rua da Nora Branca, Tavira, Portugal, 37.1417809, -7.5985531", --, --, --, --,,Eligible
Enabled,38813,"West Square, 320 D St",https://www.theblueground.com/p/furnished-apartments/bos-984,,https://photos2.theblueground.com/736/pg38813-o-f3bec270-f453-47c8-9d18-7cffe66341b9.jpeg,Boston,1 bed • 1 bath • 650 sqft,3390 USD,"$3,390", --, --, --,apartment,,"West Square, 320 D St, Boston, United States, 42.341136, -71.049587", --, --, --, --,,Eligible
Enabled,100688,N Street,https://www.theblueground.com/p/furnished-apartments/bos-1256831p,,https://photos2.theblueground.com/736/partner-network/itripnorthshore/de-live/itripnorthshore/full/d4b404a72000b1f136fb0179abe91bf4a3874340.jpg,Newburyport,2 beds • 1 bath,11750 USD,"$11,750", --, --, --,apartment,,"N Street, Newburyport, United States, 42.8098, -70.8214", --, --, --, --,,Eligible
Enabled,129527,Camiño Outeiro,https://www.theblueground.com/p/furnished-apartments/mad-1258082p,,https://photos2.theblueground.com/736/partner-network/rent-it-properties/de-live/rent-it-properties/full/c4ef25c04ae4be0614777dd2d27f6ab8ae1aec99.jpg,Vigo,4 beds • 2 baths,7310 EUR,"€7,310", --, --, --,apartment,,"Camiño Outeiro, Vigo, Spain, 42.1918056072, -8.7552774735", --, --, --, --,,Eligible
Enabled,152117,Calle Concepcion Arenal,https://www.theblueground.com/p/furnished-apartments/mlg-1334543p,,https://photos2.theblueground.com/736/partner-network/passthekeyss/de-live/passthekeyss-2018/full/a7f665cda6dbfcfb791229e57229fe86000660bc-4167695.jpg,Benalmádena,2 beds • 2 baths • 74 sqm,1770 EUR,"€1,770", --, --, --,apartment,,"Calle Concepcion Arenal, Benalmádena, Spain, 36.5907208, -4.5494987", --, --, --, --,,Eligible
Enabled,124975,Rue Saint-Séverin,https://www.theblueground.com/p/furnished-apartments/par-1032618p,,https://photos2.theblueground.com/736/partner-network/houst/PARI-SAI131/8fce9143-1920-4e23-8d2c-159b9d85df33-PARI_SAI131_8_.jpg,Paris,1 bed • 1 bath,8160 EUR,"€8,160", --, --, --,apartment,,"Rue Saint-Séverin, Paris, France, 48.8523937, 2.3448854", --, --, --, --,,Not eligible
Enabled,102861,North College Avenue,https://www.theblueground.com/p/furnished-apartments/usa-1221817p,,https://photos2.theblueground.com/736/partner-network/cohovaproperties/image/upload/v1718993552/production/612e6ef11b2043002fc87836/qg1j8bsophpfp9ohpydo.jpg,Fayetteville,3 beds • 2 baths • 2013 sqft,3190 USD,"$3,190", --, --, --,apartment,,"North College Avenue, Fayetteville, United States, 36.0800665, -94.1543306", --, --, --, --,,Eligible
Enabled,172338,"Avalon Meydenbauer, 10410 NE 2nd St",https://www.theblueground.com/p/furnished-apartments/sea-3782a,,https://photos2.theblueground.com/736/pg19756-o-00a09e29-7bcf-f1a1-7ebb-a01a3c99e8cb.jpg,Bellevue,2 beds • 1 bath • 1022 sqft,4450 USD,"$4,450", --, --, --,apartment,,"Avalon Meydenbauer, 10410 NE 2nd St, Bellevue, United States, 47.6122404, -122.2008967", --, --, --, --,,Eligible
Enabled,51547,"Cortland Phillips Creek Ranch, 6300 Farm to Market Rd 423",https://www.theblueground.com/p/furnished-apartments/dfw-46a,,https://photos2.theblueground.com/736/pr51547-o-326e3959-14ec-4dd2-9c51-c39bde2b80dd.jpeg,Frisco,2 beds • 2 baths • 1105 sqft,3200 USD,"$3,200", --, --, --,apartment,,"Cortland Phillips Creek Ranch, 6300 Farm to Market Rd 423, Frisco, United States, 33.1305204, -96.88852059999999", --, --, --, --,,Eligible
